template_id	template_smarts	reaction_class_id	reaction_name	annotation_method	annotation_confidence	example_reactants	example_product
0	[#6:1][N:2]=[C:3]=[S:4].[F,Cl,Br,I][C:5][C;!$(C(=O)[N,O,S,F,Cl,Br,I]):6]=O.[NH2;$([N][#6]);!$([N]C=[O,S,N]):7]>>[#6:1][N:2]=[c:3]1[n:7][c:6][c:5][s:4]1	thiazole	thiazole	smarts-rules	1.0	CN=C=S|O=CCBr|CN	CN=c1sccn1C
1	[#6:1][N:2]=[C:3]=[S:4].[O:5]=[C:6]1[CH:7]=[C:8][C:9](=[O:10])[N:11]1.[NH2;$([N][#6]);!$([N]C=[O,S,N]):12]>>[#6:1][N:2]=[c:3]1[n:12][c:6]([O:5])[c:7]([C:8][C:9](=[O:10])[N:11])[s:4]1	thiazole	thiazole	smarts-rules	1.0	CN=C=S|O=C1C=CC(=O)N1|CN	CN=c1sc(CC(N)=O)c(O)n1C
2	[NH2:1][NH:2][#6:3].[#6:4][CH:5]=O>>[#6:4][CH:5]=[N:1][N:2][#6:3]	1.2.1	uncategorized aldehyde reductive amination	rxnfp-50	0.43007438383345026	CNN|CC=O	CC=NNC
3	[$(C=O),$(C#N),$(S=O),$([N+](=O)[O-]):1][CH3,CH2&$([C]([#6])[#6]):2].[#6:4][CH:5]=O>>[*:1][C:2]=[CH:5][#6:4]	10.4.2	uncategorized methylation	rxnfp-50	0.9527095787188082	CC=O|CC=O	CC=CC=O
4	[#6:1][N:2]=[C:3]=[S:4].[NX3;!$(N[C]=[S,O,N]);$(N[#6,S]);!$(N[#7]);H1,H2:5]>>[N:5][C:3](=[S:4])[N:2][#6:1]	thiourea	thiourea	smarts-rules	1.0	CN=C=S|CN	CNC(=S)NC
5	[#6:1][CH:2]=O.[c:3][C:4](=[O:5])[NH:6][CH2:7][C:8](=[O:9])[OH,O-]>>[#6:1][CH:2]=[C:7]1[C:8](=[O:9])[O:5][C:4]([c:3])=[N:6]1	10.4.2	uncategorized methylation	rxnfp-50	0.941772682258494	CC=O|O=C(O)CNC(=O)c1ccccc1	CC=C1N=C(c2ccccc2)OC1=O
6	[N;$([NH](C=[O,S])[#6]),$([NH2](C=[O,S])):1][C:2](=[O,S:3])[N;$([NH](C=[O,S])[#6]),$([NH2](C=[O,S])):4].[c:5][CH:6]=O.[C;$([CH2](C=O)[#6]),$([CH3](C=O)):7][C:8](=O)[CH2:9][C:10](=[O:12])[$([O][C]),$([NH][C]),$([N]([C])[C]):11]>>[c:5][C:6]1[N:1][C:2](=[*:3])[N:4][C:8]([C:7])=[C:9]1[C:10](=[O:12])[*:11]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	NC(N)=O|O=Cc1ccccc1|CCOC(=O)CC(C)=O	CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1
7	[NH2;$(NC),$(Nc),$(NNC(=O)C):1].[C:3]=[C:4]-O[CH2][CH3]>>[C:3]=[C:4]-[NH:1]	10.4.2	uncategorized methylation	rxnfp-50	0.9951880258950323	CN|C=COCC	C=CNC
8	[NX3;!$(N[C]=[S,O,N]);$(N[#6,S]);!$(N[#7]);H1,H2:1].[#6:4][C:5](=[O:6])[OH,O-]>>[N:1][C:5](=[O:6])[#6:4]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|CC(=O)O	CNC(C)=O
9	[NX3;!$(N[C,S]=[S,O,N]);$(N[#6]);!$(N[#7]);H1,H2:1].[#6:2][Cl,Br,I]>>[N:1][#6:2]	10.4.2	uncategorized methylation	rxnfp-50	0.7293823577183426	CN|CCl	CNC
